stimulus_id,filename,sha256,bytes,channels,sample_width_bytes,sample_rate_hz,frames
597,id=597_genre=popular_c-id=568_e-id=133_ic_category_1.wav,607b4b7e7ae07402441d1f473adff2c55918d69ecc33a9329dcd0c618e64f912,1764124,2,2,44100,441020
598,id=598_genre=popular_c-id=386_e-id=6_ic_category_1.wav,a77a76565517c69cc0bdafa4e5b6966dc0ef08b877a3be96f71a96f20a650e7c,1764124,2,2,44100,441020
599,id=599_genre=popular_c-id=730_e-id=40_ic_category_1.wav,9f9c9d1fa165757b38864ef73477422cf1e780a23928af45ddf2e07342f46f65,1764124,2,2,44100,441020
600,id=600_genre=popular_c-id=223_e-id=58_ic_category_1.wav,ed9f26f797e69fbc63dd9329688c8e1c684c482fccb6c93d64b03f3b0262296e,1764124,2,2,44100,441020
601,id=601_genre=popular_c-id=595_e-id=71_ic_category_1.wav,393a367cb702455e81eeaaf6074a108f493a14dae26a7488900cc9285f943e85,1764124,2,2,44100,441020
602,id=602_genre=popular_c-id=695_e-id=55_ic_category_1.wav,8cc1b7902905b45f585b1d7f07d389b66c208564992b3927b9d9be80685ad79a,1764124,2,2,44100,441020
603,id=603_genre=popular_c-id=706_e-id=17_ic_category_1.wav,da9b3355d04386dab1a675271fed02bd8782e22b659805eea98e8c2e84497c25,1764124,2,2,44100,441020
604,id=604_genre=popular_c-id=504_e-id=51_ic_category_1.wav,52ee4b50b7a1c3522c4f9b2dcec1848eebdd7bea54b500f0239639bd2b9304f6,1764124,2,2,44100,441020
605,id=605_genre=popular_c-id=30_e-id=31_ic_category_1.wav,c6f682b8149a4bd9d0241963dc0923c3b12237d28d231ac926fedf54b6d778ac,1764124,2,2,44100,441020
606,id=606_genre=popular_c-id=474_e-id=49_ic_category_1.wav,e7327b736058c58e0c80ef0691bbbeb07b0b349e4bfdaa641bfcb11f2898b11b,1764124,2,2,44100,441020
607,id=607_genre=popular_c-id=245_e-id=190_ic_category_1.wav,e0bfff42f02981b8f00b850b19a19dbea25478eea798e11b0a3d93cf20b628d3,1764124,2,2,44100,441020
608,id=608_genre=popular_c-id=721_e-id=10_ic_category_1.wav,5201b6c4f7602e8723b3094cbe3fb4e94e3c8a269f2f85740f85b43f7a976629,1764124,2,2,44100,441020
609,id=609_genre=popular_c-id=344_e-id=81_ic_category_1.wav,0b556c908383b6d1969d5043982dd18e1f8d90b7de6c6de2defcec89f7a01c97,1764124,2,2,44100,441020
610,id=610_genre=popular_c-id=103_e-id=49_ic_category_1.wav,d467d474a760dc932e1616b2f4c9f1785741cae677ea473fe590316049509d20,1764124,2,2,44100,441020
